airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,route,duration_category,price
Vistara,UK-894,Hyderabad,Evening,one,Morning,Mumbai,Economy,13.75,42,Hyderabad → Mumbai,Very Long (>12h),3471
Indigo,6E-5038,Chennai,Morning,one,Evening,Kolkata,Economy,11.08,23,Chennai → Kolkata,Long (6-12h),7653
Air_India,AI-538,Chennai,Night,one,Afternoon,Kolkata,Economy,18.17,42,Chennai → Kolkata,Very Long (>12h),4784
GO_FIRST,G8-351,Mumbai,Morning,one,Evening,Delhi,Economy,8.0,21,Mumbai → Delhi,Long (6-12h),5569
Air_India,AI-503,Bangalore,Evening,one,Afternoon,Chennai,Business,19.33,40,Bangalore → Chennai,Very Long (>12h),60396
Vistara,UK-802,Bangalore,Evening,one,Night,Mumbai,Economy,25.25,2,Bangalore → Mumbai,Very Long (>12h),11205
Air_India,AI-508,Hyderabad,Afternoon,one,Night,Delhi,Business,10.83,17,Hyderabad → Delhi,Long (6-12h),44583
Vistara,UK-850,Bangalore,Evening,one,Evening,Delhi,Business,23.83,1,Bangalore → Delhi,Very Long (>12h),76009
Air_India,AI-651,Mumbai,Morning,one,Morning,Delhi,Economy,25.42,49,Mumbai → Delhi,Very Long (>12h),5840
Vistara,UK-852,Mumbai,Afternoon,two_or_more,Evening,Hyderabad,Economy,7.75,41,Mumbai → Hyderabad,Long (6-12h),7656
Vistara,UK-898,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,8.83,35,Hyderabad → Mumbai,Long (6-12h),8133
Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Chennai,Business,12.0,28,Mumbai → Chennai,Long (6-12h),49613
Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,Business,20.33,48,Mumbai → Delhi,Very Long (>12h),41269
Vistara,UK-822,Chennai,Morning,one,Afternoon,Bangalore,Business,30.25,16,Chennai → Bangalore,Very Long (>12h),58970
Air_India,AI-503,Bangalore,Evening,one,Night,Mumbai,Economy,27.42,14,Bangalore → Mumbai,Very Long (>12h),9277
Air_India,AI-770,Kolkata,Night,one,Evening,Chennai,Economy,22.5,3,Kolkata → Chennai,Very Long (>12h),13524
SpiceJet,SG-8158,Mumbai,Evening,one,Night,Kolkata,Economy,27.58,24,Mumbai → Kolkata,Very Long (>12h),5289
Indigo,6E-757,Kolkata,Evening,one,Late_Night,Hyderabad,Economy,7.92,25,Kolkata → Hyderabad,Long (6-12h),6977
Air_India,AI-430,Chennai,Morning,one,Evening,Mumbai,Business,10.08,39,Chennai → Mumbai,Long (6-12h),49553
Vistara,UK-708,Kolkata,Night,one,Night,Hyderabad,Economy,26.5,24,Kolkata → Hyderabad,Very Long (>12h),5632
Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Economy,11.25,8,Hyderabad → Delhi,Long (6-12h),10071
SpiceJet,SG-3027,Bangalore,Early_Morning,one,Late_Night,Delhi,Economy,19.25,18,Bangalore → Delhi,Very Long (>12h),12855
Air_India,AI-867,Mumbai,Night,one,Night,Hyderabad,Economy,23.08,12,Mumbai → Hyderabad,Very Long (>12h),7584
Air_India,AI-430,Chennai,Morning,one,Evening,Kolkata,Business,9.25,28,Chennai → Kolkata,Long (6-12h),55377
GO_FIRST,G8-812,Bangalore,Night,one,Afternoon,Mumbai,Economy,13.83,16,Bangalore → Mumbai,Very Long (>12h),4299
Air_India,AI-867,Mumbai,Night,one,Evening,Bangalore,Economy,22.33,42,Mumbai → Bangalore,Very Long (>12h),6544
Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Business,12.92,46,Kolkata → Mumbai,Very Long (>12h),64831
Air_India,AI-441,Delhi,Evening,one,Night,Hyderabad,Economy,27.75,33,Delhi → Hyderabad,Very Long (>12h),4209
Air_India,AI-402,Kolkata,Morning,one,Night,Bangalore,Economy,13.5,48,Kolkata → Bangalore,Very Long (>12h),7474
Indigo,6E-2083,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,7.17,28,Delhi → Hyderabad,Long (6-12h),5955
Air_India,AI-636,Delhi,Afternoon,one,Morning,Kolkata,Economy,18.33,13,Delhi → Kolkata,Very Long (>12h),13410
Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Business,11.08,14,Chennai → Mumbai,Long (6-12h),80566
Air_India,AI-766,Chennai,Morning,one,Night,Hyderabad,Business,9.92,21,Chennai → Hyderabad,Long (6-12h),39432
GO_FIRST,G8-351,Mumbai,Morning,one,Evening,Delhi,Economy,7.92,48,Mumbai → Delhi,Long (6-12h),5877
Indigo,6E-457,Bangalore,Early_Morning,two_or_more,Evening,Kolkata,Economy,10.67,3,Bangalore → Kolkata,Long (6-12h),20298
Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Business,14.58,42,Mumbai → Bangalore,Very Long (>12h),69168
Vistara,UK-822,Chennai,Morning,one,Late_Night,Delhi,Business,15.17,32,Chennai → Delhi,Very Long (>12h),45600
GO_FIRST,G8-803,Bangalore,Evening,one,Night,Delhi,Economy,4.67,38,Bangalore → Delhi,Medium (3-6h),4456
Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,Business,7.0,15,Delhi → Mumbai,Long (6-12h),41281
Air_India,AI-840,Hyderabad,Night,one,Evening,Chennai,Business,22.17,36,Hyderabad → Chennai,Very Long (>12h),51595
Indigo,6E-156,Chennai,Night,one,Early_Morning,Kolkata,Economy,10.75,19,Chennai → Kolkata,Long (6-12h),3890
Air_India,AI-560,Delhi,Morning,one,Afternoon,Bangalore,Business,6.17,16,Delhi → Bangalore,Long (6-12h),35490
Air_India,AI-743,Kolkata,Morning,two_or_more,Night,Chennai,Business,13.67,21,Kolkata → Chennai,Very Long (>12h),69125
Vistara,UK-809,Delhi,Evening,one,Morning,Hyderabad,Economy,13.25,29,Delhi → Hyderabad,Very Long (>12h),5761
AirAsia,I5-1569,Mumbai,Night,one,Morning,Hyderabad,Economy,11.42,13,Mumbai → Hyderabad,Long (6-12h),4259
Indigo,6E-2348,Delhi,Evening,zero,Night,Hyderabad,Economy,2.33,37,Delhi → Hyderabad,Short (<3h),2516
Vistara,UK-846,Bangalore,Morning,one,Early_Morning,Hyderabad,Business,23.33,34,Bangalore → Hyderabad,Very Long (>12h),37985
Air_India,AI-867,Mumbai,Night,one,Evening,Kolkata,Business,21.67,16,Mumbai → Kolkata,Very Long (>12h),49725
Indigo,6E-6238,Delhi,Morning,zero,Morning,Chennai,Economy,2.83,2,Delhi → Chennai,Short (<3h),7950
AirAsia,I5-552,Kolkata,Early_Morning,zero,Morning,Delhi,Economy,2.42,45,Kolkata → Delhi,Short (<3h),3999
Indigo,6E-269,Chennai,Morning,one,Evening,Kolkata,Economy,9.33,16,Chennai → Kolkata,Long (6-12h),5499
Indigo,6E-541,Bangalore,Morning,one,Afternoon,Hyderabad,Economy,3.83,13,Bangalore → Hyderabad,Medium (3-6h),5105
Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,Economy,22.67,16,Mumbai → Kolkata,Very Long (>12h),9529
AirAsia,I5-1528,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,13.08,48,Bangalore → Kolkata,Very Long (>12h),3393
Vistara,UK-819,Delhi,Afternoon,two_or_more,Night,Chennai,Business,8.83,35,Delhi → Chennai,Long (6-12h),76684
Indigo,6E-234,Mumbai,Evening,one,Late_Night,Bangalore,Economy,5.0,49,Mumbai → Bangalore,Medium (3-6h),2124
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Kolkata,Economy,9.33,26,Hyderabad → Kolkata,Long (6-12h),5960
AirAsia,I5-1530,Bangalore,Afternoon,zero,Afternoon,Chennai,Economy,1.0,16,Bangalore → Chennai,Short (<3h),1715
AirAsia,I5-740,Delhi,Early_Morning,one,Evening,Hyderabad,Economy,9.75,47,Delhi → Hyderabad,Long (6-12h),2050
Air_India,AI-9518,Hyderabad,Night,zero,Night,Bangalore,Economy,1.5,11,Hyderabad → Bangalore,Short (<3h),4453
Air_India,AI-526,Kolkata,Evening,one,Afternoon,Bangalore,Economy,19.92,22,Kolkata → Bangalore,Very Long (>12h),3959
Indigo,6E-438,Hyderabad,Evening,zero,Night,Chennai,Economy,1.25,12,Hyderabad → Chennai,Short (<3h),4558
Air_India,AI-768,Kolkata,Afternoon,one,Morning,Mumbai,Economy,17.58,40,Kolkata → Mumbai,Very Long (>12h),5102
Air_India,AI-465,Delhi,Evening,one,Evening,Bangalore,Economy,25.08,14,Delhi → Bangalore,Very Long (>12h),10890
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Economy,5.75,24,Chennai → Mumbai,Medium (3-6h),5372
Indigo,6E-6006,Chennai,Afternoon,one,Night,Mumbai,Economy,7.67,35,Chennai → Mumbai,Long (6-12h),4027
Vistara,UK-655,Mumbai,Morning,one,Evening,Delhi,Economy,5.25,9,Mumbai → Delhi,Medium (3-6h),15541
Vistara,UK-657,Bangalore,Morning,two_or_more,Night,Kolkata,Economy,11.25,41,Bangalore → Kolkata,Long (6-12h),9017
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Economy,16.0,21,Chennai → Mumbai,Very Long (>12h),5092
Vistara,UK-824,Chennai,Night,one,Evening,Delhi,Business,20.42,30,Chennai → Delhi,Very Long (>12h),57920
Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Chennai,Economy,13.25,48,Bangalore → Chennai,Very Long (>12h),4672
Air_India,AI-430,Chennai,Morning,one,Night,Kolkata,Economy,12.42,36,Chennai → Kolkata,Very Long (>12h),4363
Air_India,AI-430,Chennai,Morning,one,Night,Bangalore,Business,10.17,18,Chennai → Bangalore,Long (6-12h),60260
Vistara,UK-975,Delhi,Early_Morning,one,Morning,Bangalore,Economy,5.0,16,Delhi → Bangalore,Medium (3-6h),4272
Vistara,UK-928,Mumbai,Early_Morning,one,Night,Chennai,Business,13.75,21,Mumbai → Chennai,Very Long (>12h),57453
Vistara,UK-720,Kolkata,Early_Morning,one,Morning,Mumbai,Business,28.33,18,Kolkata → Mumbai,Very Long (>12h),59254
Air_India,AI-807,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,15,Delhi → Mumbai,Very Long (>12h),6601
Vistara,UK-970,Mumbai,Morning,zero,Morning,Delhi,Economy,2.25,33,Mumbai → Delhi,Short (<3h),2339
Vistara,UK-820,Bangalore,Evening,one,Morning,Chennai,Economy,16.17,47,Bangalore → Chennai,Very Long (>12h),6161
Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Economy,2.17,16,Delhi → Hyderabad,Short (<3h),2518
Vistara,UK-838,Chennai,Night,one,Morning,Kolkata,Economy,11.25,47,Chennai → Kolkata,Long (6-12h),5937
Vistara,UK-818,Bangalore,Evening,one,Evening,Kolkata,Economy,22.42,44,Bangalore → Kolkata,Very Long (>12h),8112
Indigo,6E-5384,Mumbai,Morning,one,Afternoon,Delhi,Economy,6.42,22,Mumbai → Delhi,Long (6-12h),6668
Vistara,UK-850,Bangalore,Evening,one,Morning,Delhi,Business,12.17,49,Bangalore → Delhi,Very Long (>12h),42521
Vistara,UK-943,Delhi,Early_Morning,one,Night,Bangalore,Business,13.42,7,Delhi → Bangalore,Very Long (>12h),57017
Vistara,UK-708,Kolkata,Night,one,Evening,Bangalore,Economy,20.58,10,Kolkata → Bangalore,Very Long (>12h),11853
Vistara,UK-814,Bangalore,Night,one,Early_Morning,Mumbai,Business,10.75,21,Bangalore → Mumbai,Long (6-12h),67004
Air_India,AI-768,Kolkata,Afternoon,one,Morning,Bangalore,Business,17.42,7,Kolkata → Bangalore,Very Long (>12h),60978
Vistara,UK-838,Chennai,Night,one,Evening,Kolkata,Economy,21.0,27,Chennai → Kolkata,Very Long (>12h),5937
Vistara,UK-870,Hyderabad,Night,zero,Night,Delhi,Economy,2.25,5,Hyderabad → Delhi,Short (<3h),6133
Indigo,6E-605,Chennai,Afternoon,one,Evening,Mumbai,Economy,5.5,7,Chennai → Mumbai,Medium (3-6h),9190
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,24.08,40,Mumbai → Kolkata,Very Long (>12h),5685
Indigo,6E-6491,Bangalore,Afternoon,zero,Afternoon,Hyderabad,Economy,1.17,3,Bangalore → Hyderabad,Short (<3h),4338
Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,8.5,23,Mumbai → Bangalore,Long (6-12h),6765
Vistara,UK-838,Chennai,Night,one,Morning,Hyderabad,Business,12.58,7,Chennai → Hyderabad,Very Long (>12h),80544
Vistara,UK-874,Hyderabad,Morning,one,Evening,Bangalore,Economy,9.25,32,Hyderabad → Bangalore,Long (6-12h),5441
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Business,5.75,29,Chennai → Mumbai,Medium (3-6h),49553
Indigo,6E-131,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,4.25,28,Bangalore → Mumbai,Medium (3-6h),5178
Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Business,26.5,30,Delhi → Mumbai,Very Long (>12h),41113
Air_India,AI-9894,Chennai,Morning,one,Afternoon,Bangalore,Economy,5.83,33,Chennai → Bangalore,Medium (3-6h),3038
GO_FIRST,G8-351,Mumbai,Morning,one,Afternoon,Delhi,Economy,6.08,29,Mumbai → Delhi,Long (6-12h),5569
GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,4,Delhi → Mumbai,Very Long (>12h),8869
Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Evening,Kolkata,Economy,10.42,28,Hyderabad → Kolkata,Long (6-12h),9433
Air_India,AI-765,Kolkata,Afternoon,one,Morning,Delhi,Economy,18.25,45,Kolkata → Delhi,Very Long (>12h),5234
AirAsia,I5-767,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.17,10,Mumbai → Delhi,Short (<3h),6967
Vistara,UK-613,Mumbai,Afternoon,two_or_more,Evening,Kolkata,Economy,7.33,8,Mumbai → Kolkata,Long (6-12h),20983
GO_FIRST,G8-241,Bangalore,Evening,one,Night,Delhi,Economy,6.17,19,Bangalore → Delhi,Long (6-12h),3466
Air_India,AI-440,Chennai,Early_Morning,one,Evening,Mumbai,Business,13.83,8,Chennai → Mumbai,Very Long (>12h),49553
AirAsia,I5-1518,Hyderabad,Evening,one,Early_Morning,Mumbai,Economy,11.5,37,Hyderabad → Mumbai,Long (6-12h),2250
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Mumbai,Business,10.75,32,Chennai → Mumbai,Long (6-12h),61873
Indigo,6E-6219,Chennai,Morning,two_or_more,Evening,Hyderabad,Economy,10.67,18,Chennai → Hyderabad,Long (6-12h),8523
Air_India,AI-9894,Chennai,Morning,one,Evening,Delhi,Economy,10.0,12,Chennai → Delhi,Long (6-12h),9768
Air_India,AI-732,Kolkata,Afternoon,one,Morning,Chennai,Economy,21.92,47,Kolkata → Chennai,Very Long (>12h),4893
Air_India,AI-678,Delhi,Morning,one,Afternoon,Kolkata,Business,27.17,4,Delhi → Kolkata,Very Long (>12h),53209
Air_India,AI-543,Hyderabad,Morning,one,Night,Chennai,Business,12.25,33,Hyderabad → Chennai,Very Long (>12h),51595
Air_India,AI-481,Delhi,Morning,two_or_more,Night,Hyderabad,Economy,30.300000000000004,14,Delhi → Hyderabad,Very Long (>12h),9831
Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Chennai,Economy,14.08,18,Kolkata → Chennai,Very Long (>12h),6271
Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Economy,9.58,13,Hyderabad → Delhi,Long (6-12h),10018
Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,20.42,23,Kolkata → Hyderabad,Very Long (>12h),52063
Vistara,UK-853,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,17.08,20,Mumbai → Hyderabad,Very Long (>12h),3334
Air_India,AI-640,Bangalore,Early_Morning,one,Early_Morning,Chennai,Economy,24.58,36,Bangalore → Chennai,Very Long (>12h),3720
GO_FIRST,G8-7543,Bangalore,Afternoon,one,Night,Delhi,Economy,8.5,35,Bangalore → Delhi,Long (6-12h),3466
Indigo,6E-283,Hyderabad,Evening,zero,Evening,Kolkata,Economy,2.0,2,Hyderabad → Kolkata,Short (<3h),10123
Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Hyderabad,Economy,30.300000000000004,37,Bangalore → Hyderabad,Very Long (>12h),10090
Air_India,AI-619,Mumbai,Night,one,Night,Delhi,Business,26.75,23,Mumbai → Delhi,Very Long (>12h),41101
GO_FIRST,G8-451,Chennai,Afternoon,one,Night,Bangalore,Economy,6.42,47,Chennai → Bangalore,Long (6-12h),4445
Air_India,AI-868,Delhi,Evening,one,Early_Morning,Chennai,Business,13.33,30,Delhi → Chennai,Very Long (>12h),45257
Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,20.42,25,Kolkata → Hyderabad,Very Long (>12h),52063
Air_India,AI-430,Chennai,Morning,one,Evening,Kolkata,Business,9.25,9,Chennai → Kolkata,Long (6-12h),55377
Vistara,UK-818,Bangalore,Evening,one,Afternoon,Hyderabad,Business,16.92,12,Bangalore → Hyderabad,Very Long (>12h),56588
Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,12.58,33,Delhi → Mumbai,Very Long (>12h),5227
Air_India,AI-538,Chennai,Night,one,Morning,Hyderabad,Business,14.17,26,Chennai → Hyderabad,Very Long (>12h),51345
Air_India,AI-889,Delhi,Morning,one,Afternoon,Kolkata,Business,27.5,45,Delhi → Kolkata,Very Long (>12h),42212
Indigo,6E-312,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,6.75,38,Mumbai → Kolkata,Long (6-12h),7382
Vistara,UK-958,Mumbai,Afternoon,one,Night,Kolkata,Business,10.33,7,Mumbai → Kolkata,Long (6-12h),67757
Vistara,UK-890,Hyderabad,Evening,one,Night,Chennai,Economy,26.58,5,Hyderabad → Chennai,Very Long (>12h),11319
Air_India,AI-9875,Hyderabad,Morning,one,Afternoon,Bangalore,Economy,3.92,4,Hyderabad → Bangalore,Medium (3-6h),4453
Vistara,UK-970,Mumbai,Morning,one,Evening,Chennai,Business,7.58,42,Mumbai → Chennai,Long (6-12h),64173
Air_India,AI-9894,Chennai,Morning,one,Morning,Kolkata,Economy,23.58,49,Chennai → Kolkata,Very Long (>12h),3038
Indigo,6E-415,Bangalore,Morning,one,Afternoon,Delhi,Economy,6.67,13,Bangalore → Delhi,Long (6-12h),15153
AirAsia,I5-1563,Kolkata,Evening,one,Night,Bangalore,Economy,4.17,11,Kolkata → Bangalore,Medium (3-6h),6490
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Economy,9.25,24,Delhi → Hyderabad,Long (6-12h),5772
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Business,9.67,34,Hyderabad → Chennai,Long (6-12h),84075
GO_FIRST,G8-512,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,9.67,40,Kolkata → Delhi,Long (6-12h),6324
Vistara,UK-810,Bangalore,Early_Morning,one,Night,Chennai,Business,13.25,44,Bangalore → Chennai,Very Long (>12h),60396
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,10.67,16,Bangalore → Mumbai,Long (6-12h),6568
Indigo,6E-5208,Mumbai,Evening,zero,Evening,Hyderabad,Economy,1.42,2,Mumbai → Hyderabad,Short (<3h),4263
Vistara,UK-835,Delhi,Evening,zero,Night,Chennai,Business,2.83,12,Delhi → Chennai,Short (<3h),27864
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,15.17,4,Hyderabad → Mumbai,Very Long (>12h),11854
Indigo,6E-939,Mumbai,Morning,one,Evening,Delhi,Economy,7.83,37,Mumbai → Delhi,Long (6-12h),4043
Vistara,UK-944,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.25,23,Mumbai → Hyderabad,Long (6-12h),3971
Vistara,UK-775,Mumbai,Afternoon,zero,Evening,Kolkata,Economy,2.83,1,Mumbai → Kolkata,Short (<3h),13293
Vistara,UK-977,Delhi,Evening,one,Evening,Kolkata,Business,22.0,45,Delhi → Kolkata,Very Long (>12h),67769
GO_FIRST,G8-173,Delhi,Morning,one,Evening,Bangalore,Economy,6.83,14,Delhi → Bangalore,Long (6-12h),7424
Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Hyderabad,Business,11.92,2,Bangalore → Hyderabad,Long (6-12h),59948
Vistara,UK-814,Bangalore,Night,one,Morning,Hyderabad,Business,12.5,33,Bangalore → Hyderabad,Very Long (>12h),56588
Vistara,UK-866,Bangalore,Night,one,Night,Hyderabad,Economy,23.25,17,Bangalore → Hyderabad,Very Long (>12h),5322
SpiceJet,SG-8158,Mumbai,Evening,one,Morning,Kolkata,Economy,13.67,29,Mumbai → Kolkata,Very Long (>12h),5289
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Hyderabad,Business,16.58,42,Kolkata → Hyderabad,Very Long (>12h),52063
Vistara,UK-970,Mumbai,Morning,one,Evening,Kolkata,Business,9.33,45,Mumbai → Kolkata,Long (6-12h),64285
Air_India,AI-538,Chennai,Night,zero,Night,Delhi,Business,2.83,2,Chennai → Delhi,Short (<3h),31721
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.75,18,Chennai → Delhi,Very Long (>12h),5606
Indigo,6E-6139,Bangalore,Afternoon,zero,Evening,Delhi,Economy,2.75,22,Bangalore → Delhi,Short (<3h),4500
Vistara,UK-738,Kolkata,Evening,one,Night,Bangalore,Business,25.67,29,Kolkata → Bangalore,Very Long (>12h),71058
Indigo,6E-958,Kolkata,Afternoon,one,Night,Chennai,Economy,9.33,20,Kolkata → Chennai,Long (6-12h),5280
GO_FIRST,G8-575,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,10.25,9,Mumbai → Bangalore,Long (6-12h),5102
Vistara,UK-954,Mumbai,Early_Morning,one,Night,Bangalore,Economy,14.42,11,Mumbai → Bangalore,Very Long (>12h),11843
Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Economy,12.17,34,Chennai → Hyderabad,Very Long (>12h),4401
GO_FIRST,G8-789,Kolkata,Morning,one,Night,Mumbai,Economy,14.75,41,Kolkata → Mumbai,Very Long (>12h),5507
Vistara,UK-778,Kolkata,Afternoon,one,Night,Bangalore,Business,7.33,44,Kolkata → Bangalore,Long (6-12h),61874
Air_India,AI-615,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,8.58,40,Mumbai → Bangalore,Long (6-12h),3623
Indigo,6E-183,Chennai,Afternoon,zero,Evening,Kolkata,Economy,2.33,46,Chennai → Kolkata,Short (<3h),2359
Indigo,6E-269,Chennai,Morning,one,Evening,Delhi,Economy,6.17,15,Chennai → Delhi,Long (6-12h),7877
Indigo,6E-2248,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.25,14,Hyderabad → Kolkata,Long (6-12h),5750
Air_India,AI-864,Mumbai,Early_Morning,one,Night,Chennai,Economy,16.58,18,Mumbai → Chennai,Very Long (>12h),4732
Vistara,UK-927,Delhi,Morning,one,Evening,Chennai,Business,10.42,3,Delhi → Chennai,Long (6-12h),58361
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,12.08,25,Bangalore → Mumbai,Very Long (>12h),6568
